Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Daniel Quick,Eastbourne Borough,1287,Right Centre Back,Right Back,England,23,0,0.02,0,0,0.07,0.84,0.56,0.35,63,0.84,0.42,4.48,6.99,5.8,13.71,3.22,65,0,11.89,2.1,0.63,66,5.38,96,7.13,0.7,43,31
Danny Ryan Barker,Horsham FC,2095,Right Defensive Midfielder,Centre Defensive Midfielder,England,27,0.04,0.03,29,0.04,0.01,0.17,0.43,0.26,60,0.47,0.34,2.79,7.56,6.49,11.99,3.22,50,0,12.5,3.09,1.07,74,2.28,98,3.82,0.26,0,0
Darren McQueen,AFC Hornchurch,1230,Left Wing,Left Centre Forward,England,31,0.22,0.23,36,0.07,0.1,0.59,0.59,0.15,25,0.95,1.9,0.73,3.66,4.02,5.63,0.95,30,0,12.22,3.88,1.46,65,1.9,89,6.37,3.59,40,11
David Agbontohoma,Maidstone United,336,Left Centre Back,Centre Back,England,24,0,0,,0,0,0,0,0,,0,0,6.96,3.75,4.55,13.39,4.02,44,0,5.35,0.27,0,73,1.87,100,2.41,0.54,100,20
David Longe-King,Chelmsford City,1643,Left Centre Back,Centre Attacking Midfielder,England,31,0.05,0.06,50,0,0,0.05,0.05,0,0,0.16,0.16,4.76,3.23,4.38,12.76,1.26,79,0,7.01,1.48,0.71,78,1.26,99,1.81,1.64,0,
David Sesay,Maidstone United,2566,Right Back,Right Centre Back,Sierra Leone,27,0,0.01,22,0.04,0.02,0.21,0.67,0.39,58,0.56,0.46,3.19,4.74,4.21,11.58,2.98,58,0,8.84,2.39,0.91,63,4.46,96,6.67,0.77,50,29
Davide Rodari,Hampton & Richmond,783,Left Centre Forward,Centre Forward,Switzerland,26,0.46,0.16,28,0.11,0.05,0.92,0.92,0.46,50,1.26,3.1,1.38,3.22,3.1,5.05,0.92,49,0,8.85,2.53,1.03,49,1.61,80,5.51,5.05,25,25
Decarrey Musi Sheriff,Dover Athletic,1308,Centre Forward,Left Wing,England,28,0.28,0.31,32,0.21,0.08,0.76,1.03,0.76,73,1.58,2.75,0.48,5.78,3.99,4.61,1.51,21,0,14.25,3.17,0.89,55,0.83,80,4.68,3.58,78,37
Declan Rose,AFC Totton,1864,Right Back,Right Wing Back,England,24,0,0.03,19,0.19,0.15,1.45,0.97,0.58,60,0.53,0.68,3.19,4.1,3.77,11.3,2.17,57,0,6.81,1.79,0.43,66,5.21,98,8.74,0.92,19,21
Dennon Lewis,Dorking Wanderers FC,2568,Left Wing Back,Left Wing,England,29,0.14,0.15,46,0.25,0.32,2.17,1.3,0.63,49,1.58,2.31,1.02,2.94,3.12,6.06,1.3,64,0,8.09,2.8,0.88,57,3.75,91,9.57,3.33,42,24
Deon Moore,Maidstone United,1898,Centre Forward,Left Centre Forward,England,27,0.28,0.27,53,0.19,0.17,1.42,0.66,0.43,64,2.04,3.18,0.33,7.25,5.26,3.84,1,35,0,17.11,3.89,1.28,65,1.52,80,9.15,5.36,0,36
Dermi Lusala,Dagenham & Redbridge,1649,Right Wing Back,Right Back,England,23,0.11,0.07,21,0,0.07,1.15,1.25,0.6,48,1.69,1.36,2.29,10.75,6.6,11.13,3.11,50,0,17.19,2.67,0.82,70,2.73,90,7.26,1.75,41,39
Devante Stanley,Hemel Hempstead Town,1809,Right Back,Right Wing Back,England,29,0,0.02,17,0,0.08,0.4,0.55,0.4,73,0.95,0.65,3.08,5.12,3.73,13.03,2.84,53,0,8.61,1.94,0.55,58,6.47,96,8.51,0.5,24,23
Dillon Senan De Silva,Dagenham & Redbridge,378,Right Wing Back,Right Midfielder,Sri Lanka,24,0,0.01,33,0,0.16,1.43,1.9,0.48,25,1.9,2.85,1.43,5.71,5.47,9.27,2.38,53,0,14.03,3.09,0.95,47,3.33,87,6.9,2.38,50,43
Dominic Bernard,Weston-super-Mare AFC,576,Right Back,Left Defensive Midfielder,Republic of Ireland,29,0,0,,0,0.04,0.62,0.62,0.47,75,1.09,0.78,0.94,6.09,5.47,9.68,2.34,60,0,10.93,3.28,0.94,78,2.81,96,6.87,1.56,100,33
Dominic Odusanya,Chelmsford City,1873,Left Defensive Midfielder,Centre Defensive Midfielder,England,27,0.05,0.06,30,0,0.03,0.29,0.38,0.29,75,0.14,0.62,2.11,4.71,3.6,12.21,1.68,62,0,9.37,3.03,0.91,69,4.42,98,7.07,1.01,0,0
Dominic Poleon,Farnborough,1919,Centre Forward,Left Centre Forward,St. Lucia,32,0.42,0.41,47,0.09,0.05,0.75,1.31,0.8,61,1.78,2.67,0.28,4.5,2.81,3.38,0.7,29,0.05,12.61,3.7,0.94,72,0.98,83,5.06,5.16,17,25
Dominic Revan,Salisbury,2451,Right Centre Back,Right Back,England,25,0,0.01,25,0,0.03,0.26,0.55,0.26,47,0.59,0.62,3.53,6.28,6.68,10.98,2.86,46,0,12.78,2.57,1.07,76,2.79,98,5.03,0.59,50,21
Dominic Samuel,Ebbsfleet United,1352,Centre Forward,Right Centre Forward,England,32,0.8,0.51,47,0,0.03,0.47,0.33,0.13,40,1.6,1.86,0.67,3.33,2.13,4.53,0.73,33,0,9.32,2.06,0.33,75,1.4,88,7.65,6.26,20,40
Donovan Wilson,Dagenham & Redbridge,1112,Centre Forward,Right Centre Forward,England,29,0.16,0.13,33,0,0.01,0.24,0.89,0.65,73,2.02,3.64,0.32,5.66,2.83,2.91,1.29,19,0,15.78,2.99,1.05,55,1.29,72,3.96,4.77,0,40
Dylan Morgan,Torquay United,1073,Left Wing,Right Wing,England,23,0.5,0.14,40,0,0.09,1.26,2.77,1.85,67,1.85,2.94,1.01,7.72,4.62,7.22,1.34,22,0,16.7,4.7,1.26,66,3.69,89,14.27,4.45,27,18
Dylan Stephenson,Dagenham & Redbridge,1436,Right Centre Forward,Left Centre Forward,England,23,0.31,0.26,36,0.06,0.14,0.94,0.38,0.19,50,1.5,2.38,0.31,9.47,4.89,5.01,1.44,22,0,22.75,4.83,0.63,66,1.5,86,6.46,5.45,22,25
E.Simon,Tonbridge Angels FC,1027,Centre Forward,Right Centre Forward,England,29,0.44,0.33,48,0,0.03,0.61,0.35,0.18,50,1.14,2.37,0.7,5.26,3.68,4.64,0.61,26,0,14.55,3.68,1.23,77,1.49,88,5.08,4.99,0,33
Ed Palmer,Torquay United,795,Right Centre Back,Right Back,England,34,0.23,0.14,38,0.23,0.1,0.57,0.45,0.11,25,0.23,0.45,6.22,5.21,5.66,13.35,2.26,60,0,8.6,1.13,0.68,66,4.19,98,6.45,3.17,9,29
Emlyn Lewis,Weston-super-Mare AFC,2251,Right Centre Back,Centre Back,Wales,29,0.08,0.08,21,0.04,0.03,0.32,0.2,0.12,60,0.36,0.16,6.88,4.84,6.4,14.99,3,68,0,8,1.68,0.72,65,3.4,99,3.84,1.68,0,22
Emmanuel Onariase,Maidenhead United,1364,Left Centre Back,Centre Back,England,29,0,0.1,36,0,0.01,0.13,0.07,0.07,100,0.46,0.4,6.2,6.6,6.79,16.16,4.49,82,0,10.69,1.65,0.73,75,3.36,97,4.29,2.84,,50
Ethan Sutcliffe,Tonbridge Angels FC,1285,Right Centre Back,Centre Back,England,22,0,0.04,67,0.07,0.04,0.21,0.14,0.14,100,0.49,0.28,5.88,5.39,5.95,12.05,2.45,57,0,9.88,1.75,0.63,57,1.54,96,1.89,0.91,0,0
Ethan Vaughan,Chippenham Town,2111,Left Back,Left Wing Back,Wales,22,0,0.05,38,0,0.07,0.47,1.11,0.55,50,0.77,1.79,2.05,5.84,5.46,9.38,2.47,65,0,12.4,3.2,1.28,69,3.75,93,7.08,1.49,57,27
Evander Grubb,Salisbury,559,Left Midfielder,Centre Attacking Midfielder,England,21,0,0.14,38,0,0.11,1.45,4.99,3.54,71,2.57,3.38,0.8,4.67,4.34,5.31,2.25,17,0,13.19,4.67,1.45,75,3.86,90,11.42,2.9,14,33
Ezio Touray,Chippenham Town,1214,Left Centre Forward,Right Centre Forward,Italy,22,0.07,0.31,58,0.15,0.11,0.89,0.82,0.3,36,2.15,3.11,0.74,7.64,4.82,4.6,0.89,44,0,16.24,6.01,2.08,65,2,83,6.67,5.04,0,20
Faal Muhammadu,Maidstone United,331,Centre Forward,Right Centre Forward,England,28,0,0.31,50,0,0.14,1.36,0.82,0.27,33,1.36,4.62,0.27,6.8,4.08,6.25,0.82,17,0,14.14,4.08,1.09,53,1.63,75,3.81,5.17,0,0
Finlay Barnes,Ebbsfleet United,613,Centre Attacking Midfielder,Right Attacking Midfielder,England,25,0.44,0.08,78,0,0.35,2.5,2.2,1.32,60,2.79,2.5,0.29,11.45,10.57,7.63,1.91,29,0,25.25,7.63,2.79,80,6.02,92,17.76,4.11,33,56
Finley Wilkinson,Hemel Hempstead Town,863,Left Wing,Centre Forward,England,23,0.1,0.21,41,0.1,0.07,0.52,0.31,0.31,100,1.36,1.36,0.52,7.3,4.69,5.84,1.88,26,0,15.02,3.44,1.04,64,1.67,90,5.63,2.5,20,29
Francis Mampolo,Dover Athletic,1311,Left Wing,Left Midfielder,England,23,0.07,0.1,38,0.41,0.16,1.1,3.57,1.72,48,3.57,5.77,0.69,8.31,5.9,8.17,2.4,29,0,18.4,3.78,1.1,64,2.61,74,6.73,3.16,44,33
Frank Vincent,Dorking Wanderers FC,2063,Left Centre Back,Left Centre Midfielder,England,27,0.04,0.07,27,0.13,0.14,1.57,0.74,0.44,59,0.92,1.18,2.23,7.81,6.94,13.22,2.92,40,0,14.79,4.32,1.7,67,5.15,96,9.34,1.27,36,38
Frankie Baker,Tonbridge Angels FC,450,Centre Forward,,England,20,0.2,0.26,80,0.2,0.06,0.8,0.4,0.2,50,2.8,2.4,0,5,5.2,6,0.2,18,0,16.41,3,1.8,59,1,70,4.4,3.4,0,0
Frankie Edwards,AFC Hornchurch,1153,Right Centre Back,Centre Back,England,20,0,0.08,14,0,0.1,0.23,0.08,0,0,0.23,0.39,7.03,5.39,6.17,14.84,2.42,50,0.16,9.45,2.58,0.86,63,3.05,97,3.98,1.64,0,
Freddie Carter,Eastbourne Borough,1627,Left Centre Back,Right Centre Back,England,21,0.17,0.13,55,0,0.07,0.33,0.11,0.11,100,0.22,0.17,7.69,5.31,5.98,14.88,2.88,72,0.06,9.68,1.66,0.61,62,3.26,99,3.26,1.83,42,26
Fuad Sesay,Dover Athletic,1022,Left Back,,England,22,0,0,0,0,0.04,0.35,0.62,0.35,57,1.06,0.7,3.43,7.66,7.31,14.97,4.58,44,0.09,14.17,2.29,0.53,52,4.49,94,4.67,0.09,17,9
Gene Kennedy,Ebbsfleet United,1429,Right Defensive Midfielder,Left Defensive Midfielder,England,23,0.06,0.12,33,0,0.04,0.57,0.31,0.25,80,0.88,0.57,1.89,5.73,6.36,14.61,3.15,63,0,12.16,4.09,1.32,76,4.41,96,9.64,2.9,17,14
George Alexander,Eastbourne Borough,1028,Left Centre Forward,Right Centre Forward,England,25,0.09,0.23,27,0,0.03,0.53,1.14,0.61,54,1.31,3.06,0.7,5.16,3.68,5.16,0.61,24,0,13.83,3.85,1.05,63,1.84,85,6.48,4.64,9,15
George Birch,Weston-super-Mare AFC,308,Right Wing,Centre Attacking Midfielder,England,19,0,0.04,100,0,0,0,2.34,1.17,50,4.09,4.39,0.58,12.86,9.65,7.6,3.22,40,0,27.48,6.43,2.34,73,2.63,80,5.85,2.92,0,17
George Cox,Worthing FC,550,Left Wing Back,Left Back,England,28,0,0.07,17,0.16,0.19,0.82,0.33,0.16,50,1.31,1.64,1.47,6.06,4.75,7.36,2.62,47,0,12.27,3.76,1.15,67,3.44,96,10.47,3.11,25,28
George Fowler,Maidstone United,2243,Right Centre Back,Centre Back,England,28,0,0.05,44,0,0.01,0.08,0,0,,0.32,0.28,5.78,2.49,3.37,13.92,1.73,68,0.04,4.69,1.24,0.56,68,2.65,99,3.09,2.05,0,0
George Francomb,Dorking Wanderers FC,651,Left Centre Back,Left Back,England,34,0,0.04,50,0,0.05,0.55,0.69,0.28,40,0.55,0.83,2.35,6.91,6.91,13.26,3.18,57,0,14.37,3.45,0.83,73,7.88,97,12.3,0.69,36,44
George Marsh,Dagenham & Redbridge,518,Left Defensive Midfielder,Right Defensive Midfielder,England,27,0,0.01,0,0,0.07,0.69,0.52,0.17,33,0.52,0.87,2.08,8.34,6.43,14.41,2.95,56,0.17,15.46,4.34,1.04,74,3.47,98,5.38,0,0,0
George Moncur,Ebbsfleet United,647,Centre Attacking Midfielder,Left Centre Midfielder,England,32,0,0.08,23,0.42,0.14,1.67,1.25,0.7,56,1.39,0.97,0.56,6.4,2.5,7.65,0.7,23,0,10.57,2.5,0.28,86,3.2,94,17.11,2.92,40,29
George Nikaj,Dover Athletic,2555,Right Wing,Right Midfielder,England,23,0.32,0.24,34,0.04,0.12,0.88,2.15,1.16,54,2.57,3.17,0.63,9.16,4.68,6.48,1.58,31,0,18.88,4.83,1.3,51,2.32,82,6.06,5.81,22,19
George Wilkinson,Dover Athletic,808,Left Centre Midfielder,Right Centre Midfielder,England,22,0,0.05,40,0.11,0.1,0.89,0.22,0.11,50,1.34,1.45,1.11,5.9,5.01,8.46,1.78,31,0,14.58,3.78,1,58,2.45,92,5.79,2.89,14,25
George Williams,Hemel Hempstead Town,1911,Right Wing,Left Wing,Wales,30,0.05,0.17,42,0.14,0.18,1.65,1.22,0.66,54,1.27,1.98,0.94,4.9,4.29,8.57,1.65,35,0,10.74,3.72,1.27,59,2.54,91,10.08,3.25,36,24
Georgio Rasulo,Chesham United FC,2057,Right Defensive Midfielder,Centre Defensive Midfielder,England,29,0.04,0.03,25,0,0.05,0.74,0.66,0.48,73,0.83,0.7,1.75,8.97,5.99,14.57,2.36,48,0,15.66,4.86,1.75,75,3.68,98,8.36,1.01,14,18
Giles Phillips,AFC Hornchurch,998,Left Back,Right Centre Back,USA,28,0.09,0.07,25,0.09,0.06,0.18,0.36,0.18,50,0.27,0.27,7.31,4.78,6.76,14.97,2.16,84,0,10.28,2.25,1.44,60,3.16,97,4.42,0.99,0,0
Giosue Bellagambi,Ebbsfleet United,439,Goalkeeper,,England,24,0,0,,0,0,0,0.62,0.62,100,0,0,0,0,4.92,4.31,0,,0,0,0,0,63,1.03,100,1.03,0,,
Gregory Roland Luer,Horsham FC,1593,Right Wing,Centre Forward,England,31,0.11,0.1,39,0.11,0.16,1.13,0.85,0.56,67,1.13,1.98,1.24,7.68,4.46,7.34,1.75,48,0,13.05,2.43,0.68,59,2.32,94,7.97,3.11,47,20
H.Sparks,Horsham FC,2262,Left Back,Left Wing Back,England,30,0,0.03,29,0.16,0.09,0.68,0.2,0.08,40,0.44,0.6,3.18,7.56,5.33,9.63,2.9,41,0,12.3,2.83,0.8,69,4.14,97,6.92,0.6,34,31
Hakeem Sandah,Farnborough,1431,Left Wing,Left Wing Back,England,21,0.13,0.08,19,0.06,0.1,1.2,3.9,2.26,58,2.52,4.22,0.57,8.24,6.17,6.92,3.15,40,0,14.78,3.21,1.07,73,2.64,85,6.67,1.95,32,24
Hamzad Kargbo,Maidstone United,405,Centre Forward,Left Centre Forward,England,24,0.67,0.45,50,0.22,0.14,0.89,0.67,0.44,67,1.78,2.44,0.89,7.56,3.78,6.22,0.67,53,0,16.45,4.22,0.89,49,3.33,75,7.11,6.44,0,100
Harrison Andrew Foulkes,Dorking Wanderers FC,2434,Goalkeeper,,England,25,0,0,,0.04,0.03,0.07,0,0,,0,0,0,0.07,5.44,4.73,0,,0.04,0.22,0,0,76,1.92,100,0.81,0,0,
Harrison Sodje,Dover Athletic,1763,Left Back,,England,22,0.05,0.01,25,0.05,0.04,0.61,1.53,1.17,77,0.87,0.87,2.91,8.73,6.99,12.66,4.24,42,0,15.98,3.88,1.02,60,5.61,96,6.12,0.1,33,31
Harry Alfie Beadle,Dover Athletic,1416,Left Centre Back,Right Centre Midfielder,England,23,0,0.03,11,0,0.03,0.44,0.13,0.06,50,0.32,0.38,6.67,4.26,5.28,14.75,1.97,76,0.06,8.2,2.48,1.08,57,1.72,95,2.99,1.53,59,42
Harry Gardner,Hampton & Richmond,2133,Right Defensive Midfielder,Right Centre Midfielder,England,25,0.13,0.04,27,0.17,0.13,1.27,1.18,0.72,61,1.39,1.18,1.56,11.56,7.51,10.84,3.46,48,0,19.07,5.36,1.81,61,3.25,93,5.82,0.63,24,22
Harry Gibbs,AFC Hornchurch,2660,Left Centre Back,Left Back,England,28,0.14,0.06,44,0.1,0.05,0.58,0.27,0.27,100,0.41,0.27,9.51,3.93,5.21,18.17,2.71,70,0.07,6.94,1.29,0.54,58,4.13,98,4.09,1.69,10,4
Harry Lee,Salisbury,825,Left Back,Right Wing Back,England,19,0,0.02,33,0,0.12,0.65,0.44,0.22,50,0.44,0.44,2.84,7.2,6.76,10.25,2.62,29,0,13.64,3.05,1.64,59,3.93,97,5.56,1.85,14,17
Harry Parsons,Chippenham Town,677,Centre Attacking Midfielder,Left Centre Forward,England,23,0.53,0.22,32,0,0.05,0.93,1.46,0.93,64,2.53,3.59,0.13,8.51,3.99,8.11,1.33,26,0,16.36,7.32,1.86,72,2.13,84,10.38,5.19,0,0
Harry Phipps,Eastbourne Borough,896,Centre Back,Left Centre Back,England,27,0.2,0.09,30,0,0.01,0.3,0.2,0.1,50,0.3,0.2,5.32,8.74,7.93,19.08,3.72,62,0,13.26,2.71,1.41,70,2.71,100,4.22,3.11,0,
Harry Ransom,Worthing FC,2762,Centre Back,Left Centre Back,England,26,0.07,0.03,71,0,0.02,0.2,0.03,0.03,100,0.26,0.07,6.35,2.8,4.04,14.37,1.86,76,0,5.8,1.82,0.81,83,3.36,99,4.07,0.65,11,33
Harry Sidwell,Dagenham & Redbridge,1405,Centre Defensive Midfielder,Right Defensive Midfielder,England,19,0,0.03,42,0,0.03,0.9,0.45,0.32,71,0.96,0.38,1.6,9.99,6.41,11.28,2.69,48,0,18.13,4.29,1.41,79,3.46,95,6.21,0.38,30,40
Harry Thomas,Hampton & Richmond,1924,Right Centre Back,Left Centre Back,England,20,0,0.04,25,0,0.03,0.28,0.56,0.51,92,0.42,0.28,6.83,5.38,6.55,15.2,2.39,64,0.09,9.87,2.39,0.84,66,3.09,98,3.56,0.94,0,0
Harry Thomas Barbrook,Chelmsford City,2471,Left Back,Left Centre Back,England,21,0.07,0.04,43,0,0.05,0.73,0.62,0.44,71,1.06,0.58,3.46,5.9,5.97,12.46,2.66,64,0,12.13,3.42,1.31,68,3.24,95,5.83,1.24,38,38
Harry Tustin,Salisbury,807,Right Defensive Midfielder,Right Centre Midfielder,England,19,0,0.01,0,0.22,0.1,1,0.22,0.22,100,1.23,0.56,2.56,10.26,8.14,11.48,3.68,35,0,19.17,5.35,2.45,66,3.12,93,5.91,0.33,0,0
Harvey Broad,Dagenham & Redbridge,1187,Left Back,Left Wing Back,England,20,0.15,0.09,30,0.23,0.13,1.21,0.38,0.23,60,0.45,1.14,3.26,7.5,4.78,8.87,4.09,35,0.08,13.57,1.9,0.38,62,3.64,95,8.34,2.73,64,48
Harvey Lintott,Eastbourne Borough,1440,Right Wing Back,Right Back,England,23,0,0.02,17,0.06,0.03,0.5,0.56,0.31,56,0.75,0.62,2.06,4.44,2.94,7.87,1.87,55,0,9.75,1.87,0.37,54,4.06,95,6.56,1,62,23
